Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.045,256.19,38.16,59.38,48.77,,18
1982,2.0,0.047,258.77,42.75,49.09,45.92,,18
1982,3.0,0.045,260.25,43.44,43.56,43.5,,18
1982,4.0,0.04,261.37,37.43,40.81,39.12,,18
1982,5.0,0.037,262.61,30.04,41.17,35.6,,18
1982,6.0,0.035,263.47,24.65,42.49,33.57,,18
1982,7.0,0.035,264.14,22.8,43.61,33.2,,18
1982,8.0,0.037,265.79,22.5,42.95,32.73,,18
1982,9.0,0.038,267.78,21.73,43.87,32.8,,18
1982,10.0,0.041,270.26,20.93,43.98,32.46,,18
1982,11.0,0.049,273.33,21.53,40.51,31.02,,18
1982,12.0,0.063,276.55,22.84,39.21,31.03,,18
1982,13.0,0.077,279.11,21.73,40.66,31.2,,18
1982,14.0,0.093,281.1,18.76,44.05,31.41,,18
1982,15.0,0.103,282.32,11.12,54.52,32.82,,18
1982,16.0,0.123,284.04,6.16,65.17,35.66,,18
1982,17.0,0.152,286.3,4.88,69.61,37.25,,18
1982,18.0,0.187,288.69,5.75,66.35,36.05,,18
1982,19.0,0.232,291.0,8.51,59.1,33.8,,18
1982,20.0,0.274,292.49,11.15,55.97,33.56,,18
1982,21.0,0.314,293.12,14.15,58.36,36.25,,18
1982,22.0,0.341,293.21,14.8,62.46,38.63,,18
1982,23.0,0.353,292.79,13.56,69.03,41.3,,18
1982,24.0,0.357,292.54,11.42,72.89,42.16,,18
1982,25.0,0.368,292.46,12.87,74.98,43.92,,18
1982,26.0,0.378,292.65,14.86,74.34,44.6,,18
1982,27.0,0.387,293.16,19.0,70.19,44.6,,18
1982,28.0,0.39,293.71,24.17,65.46,44.81,,18
1982,29.0,0.397,294.38,35.17,59.12,47.15,,18
1982,30.0,0.399,294.98,43.68,52.03,47.86,,18
1982,31.0,0.39,295.38,43.73,46.66,45.2,,18
1982,32.0,0.381,295.58,43.23,42.69,42.96,,18
1982,33.0,0.374,295.57,43.9,39.04,41.47,,18
1982,34.0,0.367,295.56,45.74,35.1,40.42,,18
1982,35.0,0.355,295.24,47.72,32.23,39.98,,18
1982,36.0,0.337,294.65,49.2,26.49,37.84,,18
1982,37.0,0.314,293.71,48.1,22.36,35.23,,18
1982,38.0,0.293,292.29,45.56,21.52,33.54,,18
1982,39.0,0.27,290.55,41.28,22.73,32.01,,18
1982,40.0,0.246,288.61,36.88,23.83,30.35,,18
1982,41.0,0.223,286.91,36.01,17.9,26.95,,18
1982,42.0,0.205,285.23,39.53,16.31,27.92,,18
1982,43.0,0.183,283.46,42.48,15.02,28.75,,18
1982,44.0,0.16,281.42,43.83,13.68,28.75,,18
1982,45.0,0.135,279.17,42.66,13.58,28.12,,18
1982,46.0,0.113,277.21,41.37,14.07,27.72,,18
1982,47.0,0.096,275.18,42.5,15.66,29.08,,18
1982,48.0,0.083,272.89,43.14,19.05,31.09,,18
1982,49.0,0.073,270.76,42.32,21.89,32.11,,18
1982,50.0,0.064,268.64,40.27,23.58,31.92,,18
1982,51.0,0.058,266.02,42.01,27.57,34.79,,18
1982,52.0,0.053,264.14,41.76,30.98,36.37,,18
1983,1.0,0.049,263.4,41.79,31.39,36.59,,18
1983,2.0,0.05,264.48,45.57,26.93,36.25,,18
1983,3.0,0.053,266.35,52.39,20.21,36.3,,18
1983,4.0,0.057,268.01,55.18,16.89,36.04,,18
1983,5.0,0.058,268.44,48.91,21.9,35.4,,18
1983,6.0,0.056,268.89,40.92,25.56,33.24,,18
1983,7.0,0.057,270.51,38.61,24.26,31.44,,18
1983,8.0,0.059,271.53,36.6,25.95,31.27,,18
1983,9.0,0.062,271.98,35.77,31.21,33.49,,18
1983,10.0,0.069,273.26,36.48,34.82,35.65,,18
1983,11.0,0.077,274.18,35.89,38.18,37.04,,18
1983,12.0,0.092,275.32,36.8,44.33,40.57,,18
1983,13.0,0.112,276.67,38.01,50.46,44.24,,18
1983,14.0,0.136,278.75,38.3,54.78,46.54,,18
1983,15.0,0.171,282.38,41.24,53.34,47.29,,18
1983,16.0,0.212,285.33,45.19,55.11,50.15,,18
1983,17.0,0.258,287.92,50.07,55.79,52.93,,18
1983,18.0,0.307,289.92,56.49,54.85,55.67,,18
1983,19.0,0.353,291.43,60.81,54.53,57.67,,18
1983,20.0,0.388,293.19,62.77,48.86,55.81,,18
1983,21.0,0.41,293.63,61.14,52.91,57.03,,18
1983,22.0,0.424,293.83,58.44,55.98,57.21,,18
1983,23.0,0.43,293.97,55.67,56.96,56.31,,18
1983,24.0,0.418,293.15,45.3,66.44,55.87,,18
1983,25.0,0.413,293.26,38.51,65.77,52.14,,18
1983,26.0,0.409,293.77,33.73,60.83,47.28,,18
1983,27.0,0.399,293.59,26.63,64.71,45.67,,18
1983,28.0,0.381,293.17,18.31,72.26,45.29,,18
1983,29.0,0.365,292.63,15.79,80.68,48.23,,18
1983,30.0,0.355,292.43,17.77,83.29,50.53,,18
1983,31.0,0.361,292.71,26.54,79.84,53.19,,18
1983,32.0,0.366,293.12,34.42,72.92,53.67,,18
1983,33.0,0.371,293.77,42.66,60.99,51.83,,18
1983,34.0,0.375,294.16,51.23,51.8,51.52,,18
1983,35.0,0.376,294.52,60.46,40.09,50.27,,18
1983,36.0,0.366,293.93,65.08,33.32,49.2,,18
1983,37.0,0.344,292.64,63.88,31.48,47.68,,18
1983,38.0,0.326,291.65,62.3,27.2,44.75,,18
1983,39.0,0.307,290.25,60.24,25.55,42.89,,18
1983,40.0,0.276,288.12,53.34,28.92,41.13,,18
1983,41.0,0.239,285.74,45.09,30.59,37.84,,18
1983,42.0,0.201,283.36,37.47,34.16,35.82,,18
1983,43.0,0.164,281.2,31.93,32.97,32.45,,18
1983,44.0,0.134,278.33,28.57,34.53,31.55,,18
1983,45.0,0.109,275.12,25.6,37.5,31.55,,18
1983,46.0,0.087,271.88,23.88,40.75,32.31,,18
1983,47.0,0.071,269.13,24.06,42.32,33.19,,18
1983,48.0,0.059,267.58,24.68,40.93,32.8,,18
1983,49.0,0.049,266.11,22.86,40.81,31.84,,18
1983,50.0,0.042,264.84,20.53,39.23,29.88,,18
1983,51.0,0.038,264.43,22.63,33.99,28.31,,18
1983,52.0,0.039,264.17,27.82,30.59,29.2,,18
1984,1.0,0.041,263.38,33.19,31.14,32.17,,18
1984,2.0,0.04,261.79,34.63,37.01,35.82,,18
1984,3.0,0.038,260.25,35.18,43.26,39.22,,18
1984,4.0,0.035,259.31,31.02,48.28,39.65,,18
1984,5.0,0.031,257.87,24.58,57.35,40.96,,18
1984,6.0,0.029,256.18,20.02,66.17,43.09,,18
1984,7.0,0.028,255.02,18.12,72.59,45.36,,18
1984,8.0,0.027,254.88,16.97,77.21,47.09,,18
1984,9.0,0.028,255.94,16.44,82.13,49.29,,18
1984,10.0,0.031,257.66,16.07,85.82,50.94,,18
1984,11.0,0.039,261.21,16.72,84.0,50.36,,18
1984,12.0,0.051,266.56,17.3,77.16,47.23,,18
1984,13.0,0.068,271.92,17.25,70.07,43.66,,18
1984,14.0,0.092,276.7,18.2,65.5,41.85,,18
1984,15.0,0.12,280.81,18.52,63.76,41.14,,18
1984,16.0,0.153,284.93,18.98,59.0,38.99,,18
1984,17.0,0.185,288.14,18.66,54.61,36.64,,18
1984,18.0,0.223,290.15,20.67,53.28,36.98,,18
1984,19.0,0.262,291.04,21.31,58.44,39.87,,18
1984,20.0,0.296,291.2,21.14,68.32,44.73,,18
1984,21.0,0.33,291.43,22.35,75.2,48.78,,18
1984,22.0,0.362,291.24,26.05,82.12,54.09,,18
1984,23.0,0.378,290.64,27.89,90.32,59.1,,18
1984,24.0,0.396,290.71,34.01,91.97,62.99,,18
1984,25.0,0.406,290.95,35.95,91.38,63.67,,18
1984,26.0,0.409,290.95,34.97,93.44,64.2,,18
1984,27.0,0.413,291.17,36.81,93.68,65.25,,18
1984,28.0,0.418,291.66,44.19,90.93,67.56,,18
1984,29.0,0.424,292.34,53.47,85.24,69.36,,18
1984,30.0,0.419,292.74,56.83,80.74,68.79,,18
1984,31.0,0.404,292.73,53.28,80.27,66.78,,18
1984,32.0,0.392,292.66,50.62,78.78,64.7,,18
1984,33.0,0.377,292.13,46.28,80.93,63.6,,18
1984,34.0,0.365,291.91,44.8,79.13,61.97,,18
1984,35.0,0.342,291.24,39.87,76.91,58.39,,18
1984,36.0,0.313,290.21,36.04,70.25,53.15,,18
1984,37.0,0.288,289.27,35.44,60.53,47.99,,18
1984,38.0,0.261,287.97,30.34,59.79,45.06,,18
1984,39.0,0.233,286.31,23.07,63.17,43.12,,18
1984,40.0,0.211,284.63,18.85,65.69,42.27,,18
1984,41.0,0.194,282.56,20.32,65.09,42.7,,18
1984,42.0,0.175,280.96,23.47,56.93,40.2,,18
1984,43.0,0.149,278.79,23.51,51.83,37.67,,18
1984,44.0,0.12,275.69,20.17,51.94,36.06,,18
1984,45.0,0.099,271.05,19.28,61.13,40.2,,18
1984,46.0,0.084,267.14,21.56,63.98,42.77,,18
1984,47.0,0.075,264.76,26.93,61.27,44.1,,18
1984,48.0,0.072,263.57,34.5,57.23,45.87,,18
1984,49.0,0.069,264.48,38.49,47.35,42.92,,18
1984,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1984,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1984,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,18
1985,9.0,0.037,261.16,20.22,65.52,42.87,,18
1985,10.0,0.037,259.83,18.51,78.39,48.45,,18
1985,11.0,0.043,262.93,18.7,77.48,48.09,,18
1985,12.0,0.056,267.31,19.61,73.5,46.56,,18
1985,13.0,0.076,273.57,21.44,62.91,42.17,,18
1985,14.0,0.104,279.79,24.11,49.89,37.0,,18
