Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.079,267.92,43.33,29.71,36.52,,20
1982,2.0,0.074,267.83,42.28,28.6,35.44,,20
1982,3.0,0.076,267.98,44.17,28.6,36.38,,20
1982,4.0,0.077,268.75,45.15,28.16,36.66,,20
1982,5.0,0.077,269.44,44.22,28.3,36.26,,20
1982,6.0,0.077,270.8,41.94,29.01,35.48,,20
1982,7.0,0.079,272.66,38.69,29.79,34.24,,20
1982,8.0,0.083,274.57,36.82,30.67,33.74,,20
1982,9.0,0.083,276.35,32.82,32.69,32.75,,20
1982,10.0,0.086,278.3,29.76,34.46,32.11,,20
1982,11.0,0.097,280.68,31.32,32.82,32.07,,20
1982,12.0,0.112,283.33,33.72,31.23,32.48,,20
1982,13.0,0.126,286.2,35.04,29.78,32.41,,20
1982,14.0,0.139,288.47,34.43,31.03,32.73,,20
1982,15.0,0.147,289.79,31.51,37.64,34.57,,20
1982,16.0,0.166,291.25,30.45,45.0,37.72,,20
1982,17.0,0.194,292.98,31.25,53.0,42.13,,20
1982,18.0,0.22,294.09,31.02,60.69,45.85,,20
1982,19.0,0.246,295.34,30.44,68.36,49.4,,20
1982,20.0,0.269,296.47,30.95,70.76,50.86,,20
1982,21.0,0.287,297.37,33.81,70.55,52.18,,20
1982,22.0,0.293,297.63,34.63,73.95,54.29,,20
1982,23.0,0.291,297.8,35.38,76.11,55.75,,20
1982,24.0,0.285,298.12,35.79,78.55,57.17,,20
1982,25.0,0.278,298.23,35.04,84.18,59.61,,20
1982,26.0,0.272,298.4,35.43,86.91,61.17,,20
1982,27.0,0.264,298.53,34.9,87.77,61.34,,20
1982,28.0,0.255,298.45,34.2,87.72,60.96,,20
1982,29.0,0.258,298.91,39.49,84.42,61.95,,20
1982,30.0,0.264,299.52,46.13,78.31,62.22,,20
1982,31.0,0.262,299.88,49.7,73.43,61.56,,20
1982,32.0,0.257,300.36,52.36,67.25,59.81,,20
1982,33.0,0.252,300.5,53.46,63.45,58.46,,20
1982,34.0,0.245,300.47,52.97,59.78,56.38,,20
1982,35.0,0.236,300.04,51.63,55.05,53.34,,20
1982,36.0,0.227,299.13,50.46,47.92,49.19,,20
1982,37.0,0.216,298.04,48.7,41.6,45.15,,20
1982,38.0,0.204,296.44,47.82,40.99,44.41,,20
1982,39.0,0.192,294.82,47.32,38.44,42.88,,20
1982,40.0,0.174,292.83,42.56,35.84,39.2,,20
1982,41.0,0.155,290.29,37.1,35.2,36.15,,20
1982,42.0,0.141,287.82,34.92,32.23,33.58,,20
1982,43.0,0.127,285.03,32.93,34.43,33.68,,20
1982,44.0,0.113,282.65,30.22,28.83,29.53,,20
1982,45.0,0.098,280.61,27.06,26.24,26.65,,20
1982,46.0,0.084,277.92,23.66,30.45,27.06,,20
1982,47.0,0.071,274.91,19.79,36.47,28.13,,20
1982,48.0,0.06,271.26,16.78,44.05,30.41,,20
1982,49.0,0.052,267.88,14.7,49.89,32.29,,20
1982,50.0,0.046,264.94,13.44,54.12,33.78,,20
1982,51.0,0.044,262.81,14.8,55.39,35.09,,20
1982,52.0,0.045,261.67,16.63,55.08,35.86,,20
1983,1.0,0.044,261.47,17.88,54.41,36.15,,20
1983,2.0,0.043,261.65,19.03,52.54,35.79,,20
1983,3.0,0.044,262.56,21.11,49.09,35.1,,20
1983,4.0,0.046,263.61,22.59,47.07,34.83,,20
1983,5.0,0.048,265.64,23.87,42.38,33.13,,20
1983,6.0,0.048,266.94,22.47,43.35,32.91,,20
1983,7.0,0.052,268.34,22.22,45.81,34.01,,20
1983,8.0,0.059,269.86,23.43,47.94,35.69,,20
1983,9.0,0.066,272.13,24.11,48.59,36.35,,20
1983,10.0,0.079,275.54,26.09,44.97,35.53,,20
1983,11.0,0.097,280.3,30.31,34.2,32.26,,20
1983,12.0,0.116,284.37,34.63,26.23,30.43,,20
1983,13.0,0.141,287.94,40.09,20.84,30.47,,20
1983,14.0,0.164,290.08,43.42,21.82,32.62,,20
1983,15.0,0.186,291.64,45.3,25.68,35.49,,20
1983,16.0,0.205,293.01,44.24,31.34,37.79,,20
1983,17.0,0.223,294.48,41.98,38.97,40.47,,20
1983,18.0,0.244,296.08,40.54,41.26,40.9,,20
1983,19.0,0.258,297.05,36.23,49.96,43.09,,20
1983,20.0,0.265,297.74,30.48,56.45,43.47,,20
1983,21.0,0.268,298.46,26.89,58.57,42.73,,20
1983,22.0,0.264,298.81,22.6,61.6,42.1,,20
1983,23.0,0.258,298.8,21.31,65.38,43.34,,20
1983,24.0,0.25,298.78,20.33,70.12,45.22,,20
1983,25.0,0.247,299.28,21.44,72.42,46.93,,20
1983,26.0,0.246,299.55,24.49,74.99,49.74,,20
1983,27.0,0.244,299.7,26.71,76.67,51.69,,20
1983,28.0,0.237,299.4,27.41,78.98,53.19,,20
1983,29.0,0.233,299.04,29.01,82.46,55.73,,20
1983,30.0,0.232,298.5,32.19,85.65,58.92,,20
1983,31.0,0.24,298.15,39.8,86.44,63.12,,20
1983,32.0,0.249,298.3,48.49,83.19,65.84,,20
1983,33.0,0.257,298.57,55.6,78.88,67.24,,20
1983,34.0,0.26,298.67,60.05,74.9,67.47,,20
1983,35.0,0.258,298.97,62.03,64.75,63.39,,20
1983,36.0,0.243,298.12,58.68,57.46,58.07,,20
1983,37.0,0.226,297.49,54.08,47.19,50.63,,20
1983,38.0,0.209,296.51,50.56,40.46,45.51,,20
1983,39.0,0.19,294.45,46.02,42.64,44.33,,20
1983,40.0,0.174,292.46,42.19,40.36,41.28,,20
1983,41.0,0.157,289.81,37.62,40.91,39.27,,20
1983,42.0,0.142,287.06,34.74,40.01,37.38,,20
1983,43.0,0.127,283.87,32.44,44.22,38.33,,20
1983,44.0,0.112,280.44,29.56,44.76,37.16,,20
1983,45.0,0.103,277.86,29.2,43.76,36.48,,20
1983,46.0,0.096,274.85,29.29,47.78,38.54,,20
1983,47.0,0.089,272.06,28.9,51.88,40.39,,20
1983,48.0,0.082,270.36,29.25,49.12,39.19,,20
1983,49.0,0.071,268.05,26.4,49.52,37.96,,20
1983,50.0,0.062,265.98,23.87,49.83,36.85,,20
1983,51.0,0.054,264.02,21.3,50.54,35.92,,20
1983,52.0,0.048,261.98,19.02,53.83,36.42,,20
1984,1.0,0.046,261.08,19.79,55.76,37.78,,20
1984,2.0,0.043,259.34,19.74,60.87,40.31,,20
1984,3.0,0.041,257.94,19.8,64.93,42.37,,20
1984,4.0,0.039,257.22,18.29,67.89,43.09,,20
1984,5.0,0.035,256.79,15.3,71.12,43.21,,20
1984,6.0,0.035,257.23,14.34,76.01,45.17,,20
1984,7.0,0.037,257.74,13.33,82.65,47.99,,20
1984,8.0,0.04,258.93,13.06,86.93,50.0,,20
1984,9.0,0.043,261.63,12.24,87.7,49.97,,20
1984,10.0,0.048,264.67,11.38,86.43,48.9,,20
1984,11.0,0.061,269.34,14.67,79.98,47.32,,20
1984,12.0,0.081,275.0,19.72,69.57,44.64,,20
1984,13.0,0.105,280.21,25.43,59.24,42.33,,20
1984,14.0,0.135,284.34,31.41,53.08,42.24,,20
1984,15.0,0.165,287.4,36.89,51.9,44.39,,20
1984,16.0,0.198,289.79,40.91,55.34,48.13,,20
1984,17.0,0.233,292.07,44.95,61.41,53.18,,20
1984,18.0,0.268,293.71,49.45,64.93,57.19,,20
1984,19.0,0.298,295.42,52.22,68.33,60.28,,20
1984,20.0,0.318,296.89,53.59,67.21,60.4,,20
1984,21.0,0.326,297.79,54.21,67.07,60.64,,20
1984,22.0,0.324,298.46,51.53,67.33,59.43,,20
1984,23.0,0.314,298.73,48.53,68.82,58.68,,20
1984,24.0,0.305,299.35,47.3,68.46,57.88,,20
1984,25.0,0.295,300.29,44.82,66.91,55.86,,20
1984,26.0,0.279,300.83,39.96,66.82,53.39,,20
1984,27.0,0.264,301.13,35.31,66.89,51.1,,20
1984,28.0,0.248,301.35,31.52,65.1,48.31,,20
1984,29.0,0.235,301.62,29.14,63.18,46.16,,20
1984,30.0,0.223,301.61,27.69,62.02,44.85,,20
1984,31.0,0.211,301.17,25.98,63.43,44.71,,20
1984,32.0,0.203,300.85,25.94,63.29,44.62,,20
1984,33.0,0.201,300.58,27.34,62.88,45.11,,20
1984,34.0,0.198,300.19,28.57,62.34,45.45,,20
1984,35.0,0.194,299.51,29.22,60.2,44.71,,20
1984,36.0,0.187,298.41,28.95,54.9,41.93,,20
1984,37.0,0.182,297.8,29.99,44.06,37.02,,20
1984,38.0,0.17,296.78,29.13,37.15,33.14,,20
1984,39.0,0.154,294.86,26.11,37.07,31.59,,20
1984,40.0,0.138,291.9,22.78,43.46,33.12,,20
1984,41.0,0.126,289.14,21.74,43.02,32.38,,20
1984,42.0,0.116,286.63,22.13,39.43,30.78,,20
1984,43.0,0.102,283.5,20.62,43.57,32.09,,20
1984,44.0,0.087,280.15,17.64,43.7,30.67,,20
1984,45.0,0.078,277.42,16.63,44.14,30.39,,20
1984,46.0,0.07,274.92,16.32,45.81,31.07,,20
1984,47.0,0.067,273.13,17.16,45.26,31.21,,20
1984,48.0,0.067,272.07,20.6,40.22,30.41,,20
1984,49.0,0.067,271.97,23.26,31.86,27.56,,20
1984,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1984,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1984,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,20
1985,9.0,0.032,265.91,6.75,69.96,38.35,,20
1985,10.0,0.029,266.61,3.68,75.03,39.36,,20
1985,11.0,0.031,268.86,2.91,78.04,40.47,,20
1985,12.0,0.038,272.26,3.36,77.51,40.43,,20
1985,13.0,0.052,276.73,5.28,71.3,38.29,,20
1985,14.0,0.068,280.94,7.28,66.02,36.65,,20
1985,15.0,0.089,284.81,9.61,63.82,36.71,,20
1985,16.0,0.116,288.12,11.75,63.74,37.74,,20
1985,17.0,0.153,291.26,15.47,65.28,40.38,,20
1985,18.0,0.186,293.87,17.58,61.17,39.37,,20
1985,19.0,0.217,296.54,18.06,55.54,36.8,,20
1985,20.0,0.242,298.28,19.39,52.8,36.1,,20
1985,21.0,0.264,298.48,23.37,59.83,41.6,,20
1985,22.0,0.283,298.48,29.96,66.22,48.09,,20
1985,23.0,0.299,298.64,39.58,68.92,54.25,,20
1985,24.0,0.312,298.81,50.13,72.49,61.31,,20
1985,25.0,0.322,299.03,59.0,77.01,68.0,,20
1985,26.0,0.324,299.02,62.98,81.11,72.05,,20
1985,27.0,0.323,299.19,64.59,81.69,73.14,,20
1985,28.0,0.322,299.49,66.44,78.74,72.59,,20
1985,29.0,0.32,299.95,68.39,75.18,71.78,,20
1985,30.0,0.317,300.41,71.02,70.18,70.6,,20
1985,31.0,0.311,300.92,73.57,64.19,68.88,,20
1985,32.0,0.304,301.25,75.8,58.81,67.31,,20
1985,33.0,0.295,301.25,75.68,55.87,65.77,,20
1985,34.0,0.282,300.64,72.36,56.38,64.37,,20
1985,35.0,0.266,299.51,67.39,57.3,62.34,,20
1985,36.0,0.245,297.86,60.96,57.02,58.99,,20
1985,37.0,0.225,295.92,54.52,59.42,56.97,,20
1985,38.0,0.208,293.98,50.67,63.72,57.2,,20
