Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
2.0,0.059,255.61,16.96,85.31,51.13,,7,6
3.0,0.06,258.56,16.9,74.56,45.73,,7,6
4.0,0.06,261.17,16.45,63.52,39.98,,7,6
5.0,0.061,263.92,15.86,53.34,34.6,,7,6
6.0,0.061,266.49,14.98,47.33,31.15,,7,6
7.0,0.067,268.74,16.43,44.98,30.7,,7,6
8.0,0.075,271.16,19.05,41.14,30.09,,7,6
9.0,0.085,273.95,21.44,37.05,29.24,,7,6
10.0,0.1,276.91,24.64,33.62,29.13,,7,6
11.0,0.111,279.06,23.98,35.94,29.96,,7,6
12.0,0.127,280.96,23.95,37.36,30.66,,7,6
13.0,0.141,282.17,21.25,37.52,29.38,,7,6
14.0,0.155,282.49,16.17,44.55,30.36,,7,6
15.0,0.162,282.36,9.71,56.11,32.91,,7,6
16.0,0.181,282.74,7.95,65.55,36.75,,7,6
17.0,0.213,283.94,9.1,69.82,39.46,,7,6
18.0,0.249,285.36,11.68,70.19,40.93,,7,6
19.0,0.303,287.28,21.12,59.79,40.45,,7,6
20.0,0.348,289.03,29.38,47.9,38.64,,7,6
21.0,0.383,289.96,33.77,45.4,39.58,,7,6
22.0,0.404,290.59,34.15,44.97,39.56,,7,6
23.0,0.412,290.97,32.77,45.6,39.18,,7,6
24.0,0.409,290.81,29.9,50.74,40.32,,7,6
25.0,0.413,290.89,29.82,53.23,41.53,,7,6
26.0,0.415,291.06,28.25,56.72,42.49,,7,6
27.0,0.419,291.17,26.22,64.63,45.43,,7,6
28.0,0.423,291.37,27.58,69.14,48.36,,7,6
29.0,0.437,291.84,34.64,66.16,50.4,,7,6
30.0,0.452,292.45,42.23,60.32,51.27,,7,6
31.0,0.458,292.81,44.99,56.45,50.72,,7,6
32.0,0.467,293.06,49.56,53.19,51.37,,7,6
33.0,0.476,293.15,54.84,49.12,51.98,,7,6
34.0,0.469,292.76,53.89,47.39,50.64,,7,6
35.0,0.461,292.66,56.06,36.46,46.26,,7,6
36.0,0.457,292.74,62.13,18.77,40.45,,7,6
37.0,0.44,292.23,61.9,10.82,36.36,,7,6
38.0,0.421,291.36,60.35,7.54,33.94,,7,6
39.0,0.396,290.25,57.09,5.78,31.44,,7,6
40.0,0.364,288.69,52.23,6.19,29.21,,7,6
41.0,0.335,286.86,51.8,6.56,29.18,,7,6
42.0,0.31,285.04,54.49,8.34,31.41,,7,6
43.0,0.281,283.02,56.09,15.6,35.84,,7,6
44.0,0.251,281.19,55.91,18.21,37.06,,7,6
45.0,0.224,279.44,56.17,17.75,36.96,,7,6
46.0,0.198,277.6,56.44,15.15,35.79,,7,6
