Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.056,262.27,52.32,38.91,45.61,,7
1982,2.0,0.053,262.89,51.85,35.01,43.43,,7
1982,3.0,0.052,263.78,51.81,32.0,41.91,,7
1982,4.0,0.051,264.98,49.19,31.34,40.26,,7
1982,5.0,0.049,265.84,43.77,34.11,38.94,,7
1982,6.0,0.047,266.65,36.35,37.98,37.17,,7
1982,7.0,0.045,267.94,28.65,41.32,34.99,,7
1982,8.0,0.047,270.05,26.07,41.95,34.01,,7
1982,9.0,0.048,272.25,23.24,42.36,32.8,,7
1982,10.0,0.053,274.64,22.37,43.58,32.98,,7
1982,11.0,0.064,277.23,25.52,42.9,34.21,,7
1982,12.0,0.079,280.57,29.64,39.65,34.64,,7
1982,13.0,0.098,284.21,33.97,36.03,35.0,,7
1982,14.0,0.115,287.3,35.7,32.04,33.87,,7
1982,15.0,0.13,289.33,35.45,32.99,34.22,,7
1982,16.0,0.154,291.12,36.47,36.42,36.44,,7
1982,17.0,0.183,292.83,37.58,43.61,40.6,,7
1982,18.0,0.215,294.0,38.32,56.73,47.52,,7
1982,19.0,0.25,295.32,38.78,65.85,52.31,,7
1982,20.0,0.285,296.66,41.4,66.26,53.83,,7
1982,21.0,0.317,297.75,46.85,66.63,56.74,,7
1982,22.0,0.335,298.26,48.39,69.53,58.96,,7
1982,23.0,0.338,298.31,46.99,73.49,60.24,,7
1982,24.0,0.333,298.14,44.65,80.54,62.59,,7
1982,25.0,0.322,298.12,40.02,86.26,63.14,,7
1982,26.0,0.317,298.5,39.06,85.73,62.39,,7
1982,27.0,0.307,298.75,36.36,84.22,60.29,,7
1982,28.0,0.298,299.03,36.59,80.14,58.37,,7
1982,29.0,0.294,299.45,39.97,75.73,57.85,,7
1982,30.0,0.294,299.87,45.44,71.29,58.36,,7
1982,31.0,0.286,300.1,48.68,68.12,58.4,,7
1982,32.0,0.276,300.56,49.8,62.72,56.26,,7
1982,33.0,0.264,300.83,48.53,58.96,53.74,,7
1982,34.0,0.253,300.98,47.18,55.19,51.18,,7
1982,35.0,0.237,300.52,43.84,52.67,48.25,,7
1982,36.0,0.22,299.44,40.68,48.8,44.74,,7
1982,37.0,0.202,298.18,36.73,42.96,39.84,,7
