Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.077,262.5,61.42,34.11,47.76,,9
1982,2.0,0.084,264.78,67.23,24.0,45.62,,9
1982,3.0,0.086,265.88,67.65,20.41,44.03,,9
1982,4.0,0.084,266.9,65.13,19.09,42.11,,9
1982,5.0,0.078,266.89,55.58,25.02,40.3,,9
1982,6.0,0.074,267.4,46.31,29.78,38.04,,9
1982,7.0,0.072,268.56,39.36,30.87,35.11,,9
1982,8.0,0.073,269.94,35.92,31.5,33.71,,9
1982,9.0,0.075,271.37,33.32,32.62,32.97,,9
1982,10.0,0.08,273.17,30.7,33.84,32.27,,9
1982,11.0,0.092,275.25,31.51,32.31,31.91,,9
1982,12.0,0.105,277.25,31.32,36.25,33.78,,9
1982,13.0,0.115,278.87,27.75,42.18,34.96,,9
1982,14.0,0.124,280.35,21.7,49.95,35.82,,9
1982,15.0,0.136,281.65,14.57,63.44,39.01,,9
1982,16.0,0.162,283.34,13.11,74.74,43.93,,9
1982,17.0,0.196,285.43,15.05,81.38,48.22,,9
1982,18.0,0.253,288.41,26.76,77.52,52.14,,9
1982,19.0,0.306,290.87,36.29,69.82,53.06,,9
1982,20.0,0.344,292.39,39.93,66.86,53.4,,9
1982,21.0,0.37,292.89,40.35,69.42,54.88,,9
1982,22.0,0.385,292.87,37.51,72.23,54.87,,9
1982,23.0,0.391,292.79,32.86,74.89,53.87,,9
1982,24.0,0.391,292.69,28.93,78.15,53.54,,9
1982,25.0,0.39,292.63,26.52,82.49,54.51,,9
1982,26.0,0.388,292.56,24.63,84.99,54.81,,9
1982,27.0,0.391,292.92,27.5,83.86,55.68,,9
1982,28.0,0.396,293.41,35.44,81.24,58.34,,9
1982,29.0,0.401,293.84,43.99,79.66,61.82,,9
1982,30.0,0.398,294.02,47.81,79.63,63.72,,9
1982,31.0,0.395,294.33,48.91,76.11,62.51,,9
1982,32.0,0.389,294.52,47.91,71.25,59.58,,9
