Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.067,266.68,41.66,37.5,39.58,,14
1982,2.0,0.064,267.8,41.9,34.64,38.27,,14
1982,3.0,0.061,268.21,40.71,33.8,37.26,,14
1982,4.0,0.055,268.14,35.53,35.58,35.55,,14
1982,5.0,0.048,268.13,30.39,37.23,33.81,,14
1982,6.0,0.045,268.56,27.46,39.23,33.35,,14
1982,7.0,0.045,269.52,24.81,40.23,32.52,,14
1982,8.0,0.049,271.19,24.53,40.06,32.3,,14
1982,9.0,0.052,272.64,23.39,42.25,32.82,,14
1982,10.0,0.059,275.04,22.38,42.31,32.34,,14
1982,11.0,0.075,277.91,25.94,40.3,33.12,,14
1982,12.0,0.093,281.51,28.22,38.25,33.23,,14
1982,13.0,0.107,284.45,27.06,37.81,32.44,,14
1982,14.0,0.12,286.54,25.56,39.95,32.76,,14
1982,15.0,0.127,287.95,23.26,49.19,36.23,,14
1982,16.0,0.145,289.21,20.79,64.14,42.47,,14
1982,17.0,0.169,290.19,19.37,77.76,48.57,,14
1982,18.0,0.196,291.97,19.37,80.51,49.94,,14
1982,19.0,0.225,294.18,20.37,77.06,48.71,,14
1982,20.0,0.248,295.4,21.03,75.36,48.2,,14
1982,21.0,0.267,295.99,22.19,76.65,49.42,,14
1982,22.0,0.279,296.11,23.37,81.15,52.26,,14
1982,23.0,0.284,296.02,24.05,86.07,55.06,,14
1982,24.0,0.29,296.37,26.65,86.57,56.61,,14
1982,25.0,0.295,296.59,29.53,88.87,59.2,,14
1982,26.0,0.296,296.68,32.59,90.81,61.7,,14
1982,27.0,0.295,296.9,34.88,91.5,63.19,,14
1982,28.0,0.289,297.01,36.05,91.16,63.61,,14
1982,29.0,0.292,297.53,41.37,87.21,64.29,,14
1982,30.0,0.296,298.25,46.55,80.87,63.71,,14
1982,31.0,0.293,298.89,49.4,73.97,61.68,,14
1982,32.0,0.289,299.52,52.73,65.46,59.09,,14
1982,33.0,0.285,299.84,55.2,58.35,56.77,,14
1982,34.0,0.277,299.91,56.03,53.0,54.51,,14
1982,35.0,0.266,299.78,56.21,46.4,51.31,,14
1982,36.0,0.252,299.35,54.86,38.14,46.5,,14
1982,37.0,0.232,298.56,50.41,32.34,41.37,,14
1982,38.0,0.214,297.34,47.04,29.92,38.48,,14
1982,39.0,0.195,295.54,42.82,31.19,37.0,,14
1982,40.0,0.17,293.36,35.74,32.86,34.3,,14
1982,41.0,0.146,291.29,30.03,27.55,28.79,,14
1982,42.0,0.126,288.79,27.17,25.14,26.16,,14
1982,43.0,0.108,285.95,25.11,28.53,26.82,,14
1982,44.0,0.091,283.67,22.74,25.24,23.99,,14
1982,45.0,0.076,281.81,19.92,22.74,21.33,,14
1982,46.0,0.062,278.71,17.11,28.72,22.92,,14
1982,47.0,0.051,274.89,14.38,38.79,26.59,,14
1982,48.0,0.045,270.99,14.13,48.26,31.2,,14
1982,49.0,0.04,267.88,13.85,51.44,32.65,,14
1982,50.0,0.036,265.32,12.54,51.81,32.17,,14
1982,51.0,0.036,263.48,14.41,52.37,33.39,,14
1982,52.0,0.037,262.83,16.05,50.7,33.38,,14
1983,1.0,0.036,263.18,17.58,48.33,32.95,,14
1983,2.0,0.036,264.11,21.25,45.94,33.6,,14
1983,3.0,0.037,264.51,23.84,44.72,34.28,,14
1983,4.0,0.039,264.76,25.29,45.05,35.17,,14
1983,5.0,0.041,266.47,26.02,41.86,33.94,,14
1983,6.0,0.041,267.43,24.59,42.46,33.53,,14
1983,7.0,0.042,268.71,23.28,42.52,32.9,,14
1983,8.0,0.046,271.0,23.27,40.55,31.91,,14
1983,9.0,0.053,274.04,23.87,38.12,30.99,,14
1983,10.0,0.063,278.2,24.42,33.0,28.71,,14
1983,11.0,0.073,281.64,25.04,28.27,26.65,,14
1983,12.0,0.09,285.36,27.31,24.38,25.84,,14
1983,13.0,0.112,289.21,29.58,19.12,24.35,,14
1983,14.0,0.131,291.68,30.47,16.38,23.42,,14
1983,15.0,0.152,293.94,33.46,15.1,24.28,,14
1983,16.0,0.173,295.55,31.49,17.84,24.66,,14
1983,17.0,0.194,296.99,28.6,20.61,24.61,,14
1983,18.0,0.218,298.55,27.33,22.56,24.94,,14
1983,19.0,0.237,299.15,24.98,30.41,27.69,,14
1983,20.0,0.247,299.67,21.63,36.41,29.02,,14
1983,21.0,0.255,300.28,18.93,39.2,29.07,,14
1983,22.0,0.258,300.22,16.75,46.62,31.68,,14
1983,23.0,0.261,300.02,16.65,53.68,35.16,,14
1983,24.0,0.264,299.62,16.82,60.27,38.55,,14
1983,25.0,0.271,299.52,19.9,64.59,42.24,,14
1983,26.0,0.278,299.56,24.8,67.25,46.03,,14
1983,27.0,0.279,299.47,28.26,71.16,49.71,,14
1983,28.0,0.275,299.03,30.01,75.51,52.76,,14
1983,29.0,0.269,298.7,30.87,78.03,54.45,,14
1983,30.0,0.261,298.17,30.46,81.2,55.83,,14
1983,31.0,0.261,298.06,34.12,80.28,57.2,,14
1983,32.0,0.262,298.6,38.82,72.87,55.84,,14
1983,33.0,0.261,299.28,42.18,63.24,52.71,,14
1983,34.0,0.257,299.7,44.7,55.16,49.93,,14
1983,35.0,0.25,300.34,46.76,41.54,44.15,,14
1983,36.0,0.236,300.32,46.0,28.93,37.46,,14
1983,37.0,0.218,299.78,42.44,20.55,31.5,,14
1983,38.0,0.197,298.59,37.6,17.48,27.54,,14
1983,39.0,0.178,296.72,33.52,18.51,26.01,,14
1983,40.0,0.16,294.52,30.81,19.83,25.32,,14
1983,41.0,0.14,291.41,27.3,25.38,26.34,,14
1983,42.0,0.12,287.89,24.8,32.49,28.65,,14
