Year,Week,SMN,SMT,VCI,TCI,VHI,empty,Area
1982,2.0,0.084,261.28,55.41,47.93,51.67,,18
1982,3.0,0.088,263.61,59.42,38.01,48.72,,18
1982,4.0,0.091,266.15,57.55,29.88,43.71,,18
1982,5.0,0.092,267.85,50.06,29.18,39.62,,18
1982,6.0,0.094,268.92,44.28,31.75,38.01,,18
1982,7.0,0.098,270.5,41.33,30.62,35.97,,18
1982,8.0,0.106,272.32,42.5,29.83,36.16,,18
1982,9.0,0.113,274.01,43.51,29.97,36.74,,18
1982,10.0,0.12,275.63,43.53,31.8,37.66,,18
1982,11.0,0.131,277.26,42.7,31.96,37.33,,18
1982,12.0,0.142,278.95,40.84,38.51,39.68,,18
1982,13.0,0.152,280.63,36.97,43.54,40.26,,18
1982,14.0,0.161,282.33,31.56,48.11,39.83,,18
1982,15.0,0.168,283.63,23.71,57.97,40.84,,18
1982,16.0,0.185,285.07,20.25,65.26,42.75,,18
1982,17.0,0.211,286.78,20.42,68.25,44.33,,18
1982,18.0,0.247,288.38,24.45,66.51,45.48,,18
1982,19.0,0.292,290.08,32.91,61.53,47.22,,18
1982,20.0,0.34,291.55,43.46,56.61,50.04,,18
1982,21.0,0.373,291.98,48.59,59.47,54.03,,18
1982,22.0,0.394,292.18,50.77,60.28,55.52,,18
1982,23.0,0.403,292.22,49.81,61.34,55.58,,18
1982,24.0,0.4,292.01,42.83,64.96,53.89,,18
1982,25.0,0.391,291.7,36.58,70.58,53.58,,18
1982,26.0,0.384,291.7,32.23,72.16,52.19,,18
1982,27.0,0.382,292.16,31.41,69.34,50.37,,18
1982,28.0,0.386,292.78,34.3,66.07,50.18,,18
1982,29.0,0.391,293.51,40.27,61.52,50.89,,18
1982,30.0,0.392,294.15,44.67,56.8,50.73,,18
1982,31.0,0.386,294.45,43.24,52.37,47.8,,18
1982,32.0,0.376,294.33,38.99,51.87,45.43,,18
1982,33.0,0.372,294.25,40.04,48.69,44.37,,18
1982,34.0,0.366,294.14,41.62,41.79,41.7,,18
1982,35.0,0.359,293.57,45.18,36.86,41.02,,18
1982,36.0,0.347,292.8,48.32,30.8,39.56,,18
1982,37.0,0.325,291.76,46.49,26.63,36.56,,18
1982,38.0,0.303,290.13,43.9,29.93,36.92,,18
1982,39.0,0.279,288.24,40.72,33.37,37.05,,18
1982,40.0,0.252,286.29,35.76,35.12,35.44,,18
1982,41.0,0.223,284.57,31.94,31.56,31.75,,18
1982,42.0,0.2,282.84,31.56,32.01,31.79,,18
1982,43.0,0.178,280.96,31.54,34.34,32.94,,18
1982,44.0,0.158,279.05,32.6,28.14,30.37,,18
1982,45.0,0.133,276.9,29.6,26.11,27.86,,18
1982,46.0,0.116,275.33,30.28,23.68,26.98,,18
1982,47.0,0.102,273.71,32.3,23.18,27.74,,18
1982,48.0,0.088,271.21,31.7,29.53,30.62,,18
1982,49.0,0.078,268.73,29.22,35.11,32.17,,18
1982,50.0,0.069,266.61,25.28,37.39,31.34,,18
1982,51.0,0.066,264.81,26.65,38.66,32.66,,18
1982,52.0,0.065,264.01,29.05,37.7,33.37,,18
1983,1.0,0.066,264.13,34.42,34.43,34.42,,18
