Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.038,252.22,47.05,69.15,58.1,,19
1982,2.0,0.036,253.39,45.39,63.52,54.45,,19
1982,3.0,0.033,254.22,41.22,60.22,50.72,,19
1982,4.0,0.031,255.6,37.35,58.01,47.68,,19
1982,5.0,0.03,257.16,32.54,56.92,44.73,,19
1982,6.0,0.028,258.12,25.63,57.18,41.41,,19
1982,7.0,0.029,259.9,21.3,54.76,38.03,,19
1982,8.0,0.033,262.82,21.84,49.76,35.8,,19
1982,9.0,0.036,265.27,20.87,48.45,34.66,,19
1982,10.0,0.041,267.96,20.64,48.64,34.64,,19
1982,11.0,0.053,271.56,24.24,45.76,35.0,,19
1982,12.0,0.072,275.19,30.89,43.71,37.3,,19
1982,13.0,0.092,278.5,36.31,42.75,39.53,,19
1982,14.0,0.103,281.02,35.51,42.88,39.2,,19
1982,15.0,0.116,283.13,33.78,44.63,39.21,,19
1982,16.0,0.139,284.78,33.35,50.99,42.17,,19
1982,17.0,0.167,286.45,32.68,63.15,47.92,,19
1982,18.0,0.207,288.24,35.78,75.31,55.54,,19
1982,19.0,0.267,290.74,44.29,78.15,61.22,,19
1982,20.0,0.325,293.07,52.61,75.69,64.15,,19
1982,21.0,0.371,294.4,59.15,75.3,67.23,,19
1982,22.0,0.397,294.56,60.33,78.74,69.54,,19
1982,23.0,0.407,294.46,56.77,83.03,69.9,,19
1982,24.0,0.407,294.31,50.69,89.54,70.12,,19
1982,25.0,0.401,294.27,44.31,93.68,68.99,,19
1982,26.0,0.399,294.53,43.57,92.82,68.2,,19
1982,27.0,0.391,294.5,41.29,91.12,66.2,,19
1982,28.0,0.39,294.76,44.24,88.75,66.49,,19
1982,29.0,0.388,294.93,47.82,89.6,68.71,,19
1982,30.0,0.386,295.03,52.55,90.97,71.76,,19
1982,31.0,0.38,295.04,56.42,90.94,73.68,,19
1982,32.0,0.375,295.38,60.75,86.76,73.75,,19
1982,33.0,0.371,295.65,65.02,80.09,72.55,,19
1982,34.0,0.363,295.45,68.48,75.2,71.84,,19
1982,35.0,0.352,294.95,71.73,69.3,70.51,,19
1982,36.0,0.333,294.25,71.97,60.14,66.06,,19
1982,37.0,0.308,293.21,69.63,50.13,59.88,,19
1982,38.0,0.277,291.63,62.58,46.74,54.66,,19
1982,39.0,0.236,289.94,49.88,42.42,46.15,,19
1982,40.0,0.196,288.09,38.81,36.44,37.62,,19
1982,41.0,0.159,285.78,30.03,34.3,32.17,,19
1982,42.0,0.129,283.35,25.75,32.06,28.91,,19
1982,43.0,0.107,280.55,25.07,35.66,30.37,,19
1982,44.0,0.09,278.1,25.62,33.18,29.4,,19
1982,45.0,0.077,275.16,24.63,32.91,28.77,,19
1982,46.0,0.065,271.72,24.16,35.98,30.07,,19
1982,47.0,0.056,268.21,24.31,38.12,31.21,,19
1982,48.0,0.049,264.28,24.77,46.5,35.64,,19
1982,49.0,0.045,260.55,27.59,56.69,42.14,,19
1982,50.0,0.044,257.23,31.5,61.34,46.42,,19
1982,51.0,0.043,254.37,36.67,66.76,51.71,,19
1982,52.0,0.041,252.86,42.5,67.39,54.94,,19
1983,1.0,0.041,252.37,50.55,68.51,59.53,,19
1983,2.0,0.039,252.89,50.4,65.54,57.97,,19
1983,3.0,0.038,254.23,48.78,59.56,54.17,,19
1983,4.0,0.036,255.53,44.81,57.63,51.22,,19
1983,5.0,0.034,257.55,37.66,54.3,45.98,,19
1983,6.0,0.033,258.65,30.42,54.35,42.38,,19
1983,7.0,0.032,260.37,24.74,52.57,38.66,,19
1983,8.0,0.033,262.28,21.57,51.49,36.53,,19
1983,9.0,0.033,264.34,18.98,51.67,35.33,,19
1983,10.0,0.037,267.85,18.42,49.08,33.75,,19
1983,11.0,0.044,272.03,18.98,43.96,31.47,,19
1983,12.0,0.054,275.99,21.24,40.21,30.72,,19
1983,13.0,0.073,280.55,26.58,33.62,30.1,,19
1983,14.0,0.094,283.92,31.19,29.89,30.54,,19
1983,15.0,0.12,286.83,35.69,27.36,31.53,,19
1983,16.0,0.146,288.7,36.52,31.13,33.83,,19
1983,17.0,0.179,290.54,37.54,38.2,37.87,,19
1983,18.0,0.221,292.68,41.34,43.26,42.3,,19
1983,19.0,0.269,294.52,45.27,46.59,45.93,,19
1983,20.0,0.318,296.29,49.9,45.76,47.83,,19
1983,21.0,0.35,297.28,50.68,47.09,48.88,,19
1983,22.0,0.369,297.38,46.95,51.25,49.1,,19
1983,23.0,0.376,297.26,41.04,55.93,48.49,,19
1983,24.0,0.371,296.88,31.42,64.1,47.76,,19
1983,25.0,0.366,297.0,25.11,66.36,45.73,,19
1983,26.0,0.361,297.37,22.79,64.21,43.5,,19
1983,27.0,0.354,297.61,21.86,61.13,41.49,,19
1983,28.0,0.343,297.59,19.4,62.25,40.82,,19
1983,29.0,0.33,297.44,15.61,66.25,40.93,,19
1983,30.0,0.317,297.06,14.29,72.34,43.32,,19
1983,31.0,0.312,296.57,17.59,77.09,47.34,,19
1983,32.0,0.309,296.3,22.01,78.21,50.11,,19
1983,33.0,0.309,296.19,28.24,74.77,51.51,,19
1983,34.0,0.303,295.97,32.57,69.78,51.18,,19
1983,35.0,0.295,295.93,38.15,59.06,48.6,,19
1983,36.0,0.273,294.69,37.62,55.44,46.53,,19
1983,37.0,0.25,293.29,36.08,49.39,42.73,,19
1983,38.0,0.228,291.84,34.47,44.31,39.39,,19
1983,39.0,0.203,288.82,31.09,55.81,43.45,,19
1983,40.0,0.178,286.26,28.87,58.23,43.55,,19
1983,41.0,0.154,283.19,27.19,63.72,45.46,,19
1983,42.0,0.135,280.57,28.2,58.89,43.55,,19
1983,43.0,0.114,278.23,28.91,54.06,41.48,,19
1983,44.0,0.093,274.95,26.92,54.57,40.75,,19
1983,45.0,0.077,271.14,24.76,57.71,41.24,,19
1983,46.0,0.067,267.35,25.8,61.25,43.53,,19
1983,47.0,0.06,264.45,27.66,60.24,43.95,,19
1983,48.0,0.057,262.06,31.74,59.47,45.6,,19
1983,49.0,0.052,259.81,34.08,60.69,47.39,,19
1983,50.0,0.052,256.6,40.46,64.31,52.38,,19
1983,51.0,0.053,253.99,49.47,68.09,58.78,,19
1983,52.0,0.051,250.85,57.17,76.95,67.06,,19
1984,1.0,0.05,250.06,65.78,79.81,72.79,,19
1984,2.0,0.048,249.31,64.43,83.19,73.81,,19
1984,3.0,0.045,249.81,60.51,82.14,71.32,,19
1984,4.0,0.043,251.86,54.36,76.57,65.47,,19
1984,5.0,0.039,253.64,43.92,73.24,58.58,,19
1984,6.0,0.037,254.33,35.47,72.68,54.07,,19
1984,7.0,0.039,254.81,30.76,73.4,52.08,,19
1984,8.0,0.042,255.75,28.45,74.63,51.54,,19
1984,9.0,0.044,258.51,26.49,71.86,49.18,,19
1984,10.0,0.047,262.71,24.52,67.27,45.9,,19
1984,11.0,0.054,267.44,25.09,60.96,43.02,,19
1984,12.0,0.066,272.71,27.69,53.01,40.35,,19
1984,13.0,0.081,277.99,30.94,44.39,37.66,,19
1984,14.0,0.102,283.77,35.21,30.82,33.01,,19
1984,15.0,0.125,287.57,37.66,24.34,31.0,,19
1984,16.0,0.152,290.52,39.07,22.32,30.7,,19
1984,17.0,0.184,293.81,39.47,18.68,29.07,,19
1984,18.0,0.217,295.88,39.7,19.8,29.75,,19
1984,19.0,0.252,297.32,38.57,22.89,30.73,,19
1984,20.0,0.282,298.26,35.62,27.36,31.49,,19
1984,21.0,0.31,298.58,33.23,34.15,33.69,,19
1984,22.0,0.327,298.41,27.07,41.31,34.19,,19
1984,23.0,0.335,297.75,20.46,50.97,35.72,,19
1984,24.0,0.341,297.51,15.7,57.47,36.59,,19
1984,25.0,0.343,297.71,13.66,58.7,36.18,,19
1984,26.0,0.341,297.81,13.11,59.29,36.2,,19
1984,27.0,0.336,298.12,12.99,55.96,34.47,,19
1984,28.0,0.327,298.08,11.97,57.58,34.77,,19
1984,29.0,0.323,297.89,12.96,62.02,37.49,,19
1984,30.0,0.316,297.8,14.31,65.45,39.88,,19
1984,31.0,0.304,297.45,14.08,69.01,41.54,,19
1984,32.0,0.298,297.4,16.15,67.97,42.06,,19
1984,33.0,0.292,297.08,19.14,66.15,42.64,,19
1984,34.0,0.289,296.57,24.73,63.73,44.23,,19
1984,35.0,0.278,295.9,28.7,59.48,44.09,,19
1984,36.0,0.265,295.08,33.08,51.44,42.26,,19
1984,37.0,0.248,294.27,35.43,38.89,37.16,,19
1984,38.0,0.223,292.81,31.84,33.15,32.5,,19
1984,39.0,0.197,290.71,28.15,33.16,30.66,,19
1984,40.0,0.173,288.14,26.15,36.28,31.21,,19
1984,41.0,0.153,285.77,26.68,34.92,30.8,,19
1984,42.0,0.137,283.45,29.77,31.6,30.69,,19
1984,43.0,0.117,280.88,30.7,33.54,32.12,,19
1984,44.0,0.097,278.15,29.65,33.25,31.45,,19
1984,45.0,0.084,275.53,28.75,31.08,29.91,,19
1984,46.0,0.07,272.83,27.5,29.8,28.65,,19
1984,47.0,0.06,270.79,27.57,23.08,25.33,,19
1984,48.0,0.055,269.34,29.91,16.64,23.28,,19
1984,49.0,0.052,269.23,34.27,7.51,20.89,,19
1984,50.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1984,51.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1984,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,,19
1985,9.0,0.037,266.58,21.47,43.47,32.47,,19
1985,10.0,0.036,268.06,17.24,48.04,32.64,,19
1985,11.0,0.038,270.57,15.25,49.24,32.25,,19
1985,12.0,0.044,274.11,15.84,47.37,31.6,,19
1985,13.0,0.056,278.38,18.31,42.39,30.35,,19
1985,14.0,0.075,282.9,22.66,34.17,28.42,,19
1985,15.0,0.102,287.07,27.64,26.43,27.04,,19
1985,16.0,0.134,290.63,31.44,21.87,26.66,,19
