Year,Week,SMN,SMT,VCI,TCI,VHI,empty,area
<tt><pre>1982,1.0,0.065,260.93,41.81,53.98,47.9,,23
1982,2.0,0.066,262.39,42.16,49.09,45.62,,23
1982,3.0,0.067,263.42,42.06,46.27,44.17,,23
1982,4.0,0.067,264.39,38.35,44.27,41.31,,23
1982,5.0,0.067,265.61,34.87,41.49,38.18,,23
1982,6.0,0.067,266.96,31.44,40.62,36.03,,23
1982,7.0,0.07,268.24,29.46,41.37,35.42,,23
1982,8.0,0.073,269.29,28.33,44.69,36.51,,23
1982,9.0,0.073,270.72,26.1,47.6,36.85,,23
1982,10.0,0.076,272.84,23.69,48.04,35.87,,23
1982,11.0,0.085,275.11,23.08,46.61,34.85,,23
1982,12.0,0.097,277.26,22.21,48.77,35.49,,23
1982,13.0,0.109,278.8,19.59,53.71,36.65,,23
1982,14.0,0.122,279.72,17.36,62.9,40.13,,23
1982,15.0,0.13,280.28,12.91,75.33,44.12,,23
1982,16.0,0.152,281.82,11.22,81.9,46.56,,23
1982,17.0,0.186,283.86,12.4,83.73,48.07,,23
1982,18.0,0.232,286.67,18.41,77.86,48.14,,23
1982,19.0,0.284,289.45,24.69,65.45,45.07,,23
1982,20.0,0.322,291.21,26.26,58.27,42.26,,23
1982,21.0,0.353,291.78,25.26,61.67,43.46,,23
1982,22.0,0.373,291.98,22.2,65.75,43.97,,23
1982,23.0,0.383,291.88,18.97,70.55,44.76,,23
1982,24.0,0.39,292.06,16.64,72.64,44.64,,23
1982,25.0,0.402,292.34,18.06,72.44,45.25,,23
1982,26.0,0.411,292.52,18.93,72.53,45.73,,23
1982,27.0,0.417,292.85,19.99,73.64,46.81,,23
1982,28.0,0.416,293.09,20.03,74.52,47.27,,23
1982,29.0,0.424,293.66,28.81,68.18,48.49,,23
1982,30.0,0.43,294.08,37.98,62.21,50.09,,23
1982,31.0,0.434,294.49,42.53,55.97,49.25,,23
1982,32.0,0.435,294.92,45.19,48.99,47.09,,23
1982,33.0,0.434,295.08,46.76,42.95,44.86,,23
