Year,Week,SMN,SMT,VCI,TCI,VHI,empty,Area
1982,2.0,0.092,264.4,65.82,31.42,48.62,,6
1982,3.0,0.097,265.74,70.62,27.11,48.86,,6
1982,4.0,0.101,267.73,71.82,20.73,46.28,,6
1982,5.0,0.102,268.87,65.88,21.34,43.61,,6
1982,6.0,0.103,269.8,58.54,24.88,41.71,,6
1982,7.0,0.104,271.19,52.98,24.51,38.74,,6
1982,8.0,0.107,272.53,50.3,24.93,37.61,,6
1982,9.0,0.108,273.73,47.48,26.48,36.98,,6
1982,10.0,0.109,275.0,43.63,29.24,36.44,,6
1982,11.0,0.117,276.51,41.24,29.63,35.44,,6
1982,12.0,0.127,278.0,38.89,36.62,37.76,,6
1982,13.0,0.135,279.41,33.32,43.09,38.21,,6
1982,14.0,0.145,280.79,26.13,51.57,38.85,,6
1982,15.0,0.154,281.85,17.49,65.61,41.55,,6
1982,16.0,0.177,283.32,16.35,74.95,45.65,,6
1982,17.0,0.211,285.27,18.91,78.06,48.48,,6
1982,18.0,0.263,287.61,28.29,73.07,50.68,,6
1982,19.0,0.316,289.67,37.51,65.76,51.64,,6
1982,20.0,0.359,291.13,43.74,62.27,53.0,,6
1982,21.0,0.39,291.61,46.89,64.27,55.58,,6
1982,22.0,0.407,291.68,46.95,66.31,56.63,,6
1982,23.0,0.415,291.8,44.97,67.35,56.16,,6
1982,24.0,0.416,291.89,40.51,69.0,54.76,,6
1982,25.0,0.413,291.89,36.05,72.51,54.28,,6
1982,26.0,0.41,291.91,33.23,74.04,53.63,,6
1982,27.0,0.412,292.34,34.11,72.15,53.13,,6
1982,28.0,0.417,292.91,39.42,70.03,54.73,,6
1982,29.0,0.425,293.47,48.36,67.0,57.68,,6
1982,30.0,0.424,293.79,52.55,65.83,59.19,,6
1982,31.0,0.422,294.09,54.26,61.41,57.83,,6
1982,32.0,0.413,293.95,52.18,60.72,56.45,,6
1982,33.0,0.41,293.8,54.53,56.83,55.68,,6
1982,34.0,0.407,293.78,59.29,45.73,52.51,,6
1982,35.0,0.4,293.11,62.62,39.74,51.18,,6
1982,36.0,0.388,292.19,65.48,35.71,50.6,,6
1982,37.0,0.371,291.16,65.99,32.8,49.39,,6
1982,38.0,0.352,289.5,65.91,36.5,51.2,,6
1982,39.0,0.328,287.61,64.37,39.22,51.8,,6
1982,40.0,0.295,285.83,58.33,38.07,48.2,,6
1982,41.0,0.259,284.11,49.38,33.57,41.47,,6
1982,42.0,0.231,282.39,46.94,30.84,38.89,,6
1982,43.0,0.204,280.33,45.87,34.26,40.06,,6
1982,44.0,0.18,278.43,45.9,26.99,36.44,,6
1982,45.0,0.15,276.31,40.45,23.89,32.17,,6
1982,46.0,0.127,274.15,39.99,23.41,31.7,,6
1982,47.0,0.108,272.12,41.23,24.77,33.0,,6
1982,48.0,0.087,269.31,35.31,32.99,34.15,,6
1982,49.0,0.071,266.99,27.18,37.84,32.51,,6
1982,50.0,0.061,265.48,22.19,37.57,29.88,,6
1982,51.0,0.059,264.21,24.0,36.19,30.09,,6
1982,52.0,0.055,263.49,24.37,35.02,29.69,,6
1983,1.0,0.055,263.49,28.72,33.26,30.99,,6
1983,2.0,0.057,264.21,30.07,31.85,30.96,,6
1983,3.0,0.059,265.18,33.72,29.17,31.45,,6
1983,4.0,0.063,266.19,37.05,27.57,32.31,,6
1983,5.0,0.063,266.34,34.09,32.67,33.38,,6
1983,6.0,0.059,266.47,27.78,39.2,33.49,,6
1983,7.0,0.061,267.15,25.82,42.03,33.92,,6
1983,8.0,0.064,267.79,25.71,46.08,35.89,,6
1983,9.0,0.07,268.71,26.79,49.29,38.04,,6
1983,10.0,0.083,270.53,29.52,49.73,39.63,,6
1983,11.0,0.099,272.8,31.51,47.59,39.55,,6
1983,12.0,0.116,275.34,33.04,49.77,41.4,,6
1983,13.0,0.136,277.91,33.91,51.25,42.58,,6
1983,14.0,0.16,280.48,34.8,53.53,44.17,,6
1983,15.0,0.192,283.29,38.57,53.82,46.2,,6
1983,16.0,0.225,285.64,42.26,54.76,48.51,,6
1983,17.0,0.261,288.09,44.7,51.22,47.96,,6
1983,18.0,0.295,289.89,44.84,49.52,47.18,,6
1983,19.0,0.326,291.23,42.94,49.11,46.03,,6
1983,20.0,0.351,292.44,40.13,48.2,44.16,,6
1983,21.0,0.369,292.96,36.57,50.27,43.42,,6
1983,22.0,0.386,293.61,36.78,47.06,41.92,,6
1983,23.0,0.399,293.89,36.87,46.5,41.69,,6
1983,24.0,0.397,293.36,30.13,53.67,41.9,,6
1983,25.0,0.394,293.23,24.85,57.89,41.37,,6
1983,26.0,0.397,293.53,24.59,55.67,40.13,,6
1983,27.0,0.394,293.51,22.33,58.23,40.28,,6
